timestamp;tag_id;distance_a;distance_b;battery;effective
2025-11-06T11:17:54.662647;2B5E;4.72;4.35;39;True
2025-11-06T11:18:02.369116;2783;5.62;4.87;40;True
2025-11-06T11:18:02.912870;2A55;3.3;3.97;42;True
2025-11-06T11:18:05.298406;2B45;4.5;4.42;40;True
2025-11-06T11:18:09.756587;2B5E;4.42;4.35;39;True
2025-11-06T11:18:17.462199;2783;4.35;4.57;40;True
2025-11-06T11:18:18.007935;2A55;3.3;4.05;42;True
2025-11-06T11:18:20.174214;2B45;3.9;4.35;40;True
2025-11-06T11:18:24.726629;2B5E;4.35;4.8;40;True
2025-11-06T11:18:33.081224;2A55;3.37;3.9;42;True
2025-11-06T11:18:34.708296;2783;0;7.57;39;False
2025-11-06T11:18:35.141926;2B45;8.78;6.97;40;True
2025-11-06T11:18:37.418752;2783;9.23;7.27;40;True
2025-11-06T11:18:40.800965;2B5E;0;6.9;40;False
2025-11-06T11:18:43.006774;2B5E;0;6.97;39;False
2025-11-06T11:18:45.132866;2B5E;0;7.05;39;False
2025-11-06T11:18:47.261474;2B5E;0;6.82;39;False
2025-11-06T11:18:48.085108;2A55;3.3;3.97;42;True
2025-11-06T11:18:49.387748;2B5E;0;6.9;39;False
2025-11-06T11:18:50.004648;2B45;8.48;5.62;40;True
2025-11-06T11:18:51.417399;2B5E;0;7.05;39;False
2025-11-06T11:18:52.568045;2783;6.0;6.0;39;True
2025-11-06T11:18:54.617994;2B5E;0;6.97;40;False
2025-11-06T11:18:57.822284;2B5E;0;7.2;39;False
2025-11-06T11:19:02.140772;2B5E;0;6.82;39;False
2025-11-06T11:19:03.192650;2A55;3.22;3.9;42;True
2025-11-06T11:19:04.921722;2B45;7.42;5.47;40;True
2025-11-06T11:19:07.749423;2783;7.72;6.15;39;True
2025-11-06T11:19:08.971089;2B5E;8.4;7.72;40;True
2025-11-06T11:19:18.187758;2A55;3.22;4.05;42;True
2025-11-06T11:19:20.800407;2B45;0;7.12;40;False
2025-11-06T11:19:23.788436;2783;10.73;8.63;39;True
2025-11-06T11:19:24.939223;2B5E;0;8.63;39;False
2025-11-06T11:19:25.437669;2B45;9.68;8.48;40;True
2025-11-06T11:19:27.033365;2B5E;0;8.7;39;False
2025-11-06T11:19:29.166190;2B5E;0;8.7;39;False
2025-11-06T11:19:31.089491;2B5E;9.38;8.63;39;True
2025-11-06T11:19:33.211631;2A55;3.15;3.97;42;True
2025-11-06T11:19:40.368337;2B45;15.53;13.2;40;True
2025-11-06T11:19:42.253139;2783;17.56;15.6;40;True
2025-11-06T11:19:46.158038;2B5E;16.81;15.0;39;True
2025-11-06T11:19:48.220336;2A55;3.3;3.97;42;True
2025-11-06T11:19:59.554069;2783;0;16.35;40;False
2025-11-06T11:20:01.684585;2783;0;16.51;40;False
2025-11-06T11:20:03.263700;2B5E;18.38;15.9;39;True
2025-11-06T11:20:03.436320;2A55;3.22;4.05;42;True
2025-11-06T11:20:05.060611;2783;0;16.66;39;False
2025-11-06T11:20:10.646766;2783;0;16.88;39;False
2025-11-06T11:20:12.767364;2783;16.81;16.2;40;True
2025-11-06T11:20:14.462040;2B45;0;16.88;40;False
2025-11-06T11:20:18.425428;2A55;3.45;4.05;42;True
2025-11-06T11:20:19.407702;2B5E;16.81;14.93;39;True
2025-11-06T11:20:28.760090;2B45;18.38;16.35;40;True
2025-11-06T11:20:33.478862;2A55;3.22;3.9;42;True
2025-11-06T11:20:48.984737;2B5E;27.46;26.94;40;True
2025-11-06T11:20:49.379314;2B45;29.86;27.39;40;True
2025-11-06T11:20:49.655286;2A55;3.37;3.97;42;True
2025-11-06T11:20:51.067608;2B5E;29.19;27.01;40;True
2025-11-06T11:20:52.106541;2783;27.69;27.01;39;True
2025-11-06T11:21:05.307297;2B45;0;29.34;40;False
2025-11-06T11:21:05.698708;2A55;3.37;3.9;42;True
2025-11-06T11:21:07.216091;2B5E;0;29.41;39;False
2025-11-06T11:21:08.905485;2783;32.19;29.86;40;True
2025-11-06T11:21:12.642248;2B5E;31.36;28.74;39;True
2025-11-06T11:21:14.654983;2B45;31.29;28.96;40;True
2025-11-06T11:21:20.793388;2A55;3.37;3.9;42;True
2025-11-06T11:21:23.942991;2783;33.77;29.94;40;True
2025-11-06T11:21:28.195751;2B5E;33.92;31.51;39;True
2025-11-06T11:21:30.472581;2B45;0;31.44;40;False
2025-11-06T11:21:32.588984;2B45;0;31.44;40;False
2025-11-06T11:21:34.723098;2B45;0;31.44;40;False
2025-11-06T11:21:35.776499;2A55;3.37;3.9;42;True
2025-11-06T11:21:37.942128;2B45;0;30.99;40;False
2025-11-06T11:21:40.064983;2B45;0;30.24;40;False
2025-11-06T11:21:40.249760;2783;32.49;30.39;40;True
2025-11-06T11:21:42.207521;2B45;0;30.09;40;False
2025-11-06T11:21:44.123950;2B5E;0;31.59;39;False
2025-11-06T11:21:45.394686;2B45;0;31.36;40;False
2025-11-06T11:21:47.520604;2B45;0;30.84;40;False
2025-11-06T11:21:49.208764;2B45;32.26;30.16;40;True
2025-11-06T11:21:50.681916;2B5E;0;31.51;39;False
2025-11-06T11:21:50.869054;2A55;3.37;3.97;42;True
2025-11-06T11:21:52.714666;2B5E;33.92;31.44;40;True
2025-11-06T11:21:55.290393;2783;30.31;30.16;39;True
2025-11-06T11:22:05.057237;2B45;32.11;31.51;40;True
2025-11-06T11:22:05.895217;2A55;3.3;3.97;42;True
